name,ticker_symbol,sector,city,state,date,open,high,low,close,volume,closing_price
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-10-26,203.69,207.58,196.51,198.4,24134200,198.4
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-26,191.24,199.72,189.6,199.27,5286100,199.27
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-25,194.41,196.99,191.07,192.03,3733800,192.03
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-24,193.89,196.31,190.17,193.73,6248700,193.73
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-23,178.92,194.84,178.52,193.55,7351600,193.55
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-22,182.83,184.2,177.1,177.54,5313700,177.54
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-19,180.29,190,177.55,178.93,7244200,178.93
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-18,191.21,191.34,179.72,182.52,8275200,182.52
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-17,198.53,199.6,193.74,195.93,3991100,195.93
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-16,201.14,201.39,194.75,197.68,5205900,197.68
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-11,197.01,200.85,191.36,198.36,7401900,198.36
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-10,200.76,202.4,193.6,194.13,8745300,194.13
Amazon.com Inc,AMZN,Consumer Discretionary,Seattle,Washington,2011-08-08,196.4,200.39,190.05,193.7,10427500,193.7
Apache Corporation,APA,Energy,Houston,Texas,2011-10-28,102,105.23,101.23,104.99,3073600,104.99
Apache Corporation,APA,Energy,Houston,Texas,2011-10-27,100.65,104.06,100.25,102.84,4051800,102.84
Apache Corporation,APA,Energy,Houston,Texas,2011-09-01,103.66,104.72,101.53,101.77,2573400,101.6
Apache Corporation,APA,Energy,Houston,Texas,2011-08-31,103.61,104.92,101.92,103.07,4225900,102.9
Apache Corporation,APA,Energy,Houston,Texas,2011-08-30,102.74,103.47,101.06,102.69,2949600,102.52
Apache Corporation,APA,Energy,Houston,Texas,2011-08-29,101.78,103.32,101.38,103.24,2072400,103.07
Apache Corporation,APA,Energy,Houston,Texas,2011-08-26,97.85,100.87,96.01,100.29,2984300,100.12
Apache Corporation,APA,Energy,Houston,Texas,2011-08-24,99.95,100.73,98.01,100.46,2674400,100.29
Apache Corporation,APA,Energy,Houston,Texas,2011-08-23,96.18,100.29,95.5,100.26,3246100,100.09
Apache Corporation,APA,Energy,Houston,Texas,2011-08-17,105.24,107.31,104.45,104.89,2359300,104.72
Apache Corporation,APA,Energy,Houston,Texas,2011-08-16,105.04,105.78,103.08,104.34,3740900,104.17
Apache Corporation,APA,Energy,Houston,Texas,2011-08-15,104.4,106.26,103.98,105.42,2786600,105.25
Apache Corporation,APA,Energy,Houston,Texas,2011-08-12,104.96,105.38,102.25,103.18,2643500,103.01
Apache Corporation,APA,Energy,Houston,Texas,2011-08-11,99.9,104.77,98.55,103.12,4673700,102.95
Apache Corporation,APA,Energy,Houston,Texas,2011-08-09,100.32,102.83,94.47,102.13,6742100,101.96
Apache Corporation,APA,Energy,Houston,Texas,2011-08-05,110.61,112,101.75,106.7,4859500,106.52
Apache Corporation,APA,Energy,Houston,Texas,2011-08-04,117.1,118.84,108.88,109.18,5390000,109
Apache Corporation,APA,Energy,Houston,Texas,2011-08-03,120.21,120.42,114.95,118.45,4498200,118.25
